id;name;weight;price;image;image_content_type
1;Dynamic;99257;6120;../fake-data/blob/hipster.png;image/png
2;Germany;43972;51651;../fake-data/blob/hipster.png;image/png
3;Realigned;8395;25612;../fake-data/blob/hipster.png;image/png
4;hard drive Falkland Islands Pound;74039;64396;../fake-data/blob/hipster.png;image/png
5;Greenland;30462;98305;../fake-data/blob/hipster.png;image/png
6;Incredible Granite Mouse Marketing Communications;87261;81191;../fake-data/blob/hipster.png;image/png
7;Configurable strategic granular;57647;70567;../fake-data/blob/hipster.png;image/png
8;Gorgeous Soft Gloves;30915;85674;../fake-data/blob/hipster.png;image/png
9;Manager deposit;41256;3469;../fake-data/blob/hipster.png;image/png
10;generating;69926;64875;../fake-data/blob/hipster.png;image/png
