id;name;weight;price;image;image_content_type
1;Home Loan Account Electronics;6351;71247;../fake-data/blob/hipster.png;image/png
2;Small Frozen Chair Small Metal Cheese parse;71937;62507;../fake-data/blob/hipster.png;image/png
3;Security Auto Loan Account;18497;63382;../fake-data/blob/hipster.png;image/png
4;Multi-channelled array robust;5454;3579;../fake-data/blob/hipster.png;image/png
5;user-centric Handmade Steel Computer;46229;30229;../fake-data/blob/hipster.png;image/png
6;e-enable applications RSS;75327;23347;../fake-data/blob/hipster.png;image/png
7;Walk 24/7;65995;98550;../fake-data/blob/hipster.png;image/png
8;pixel;17556;52890;../fake-data/blob/hipster.png;image/png
9;Visionary Kuwaiti Dinar;28540;35491;../fake-data/blob/hipster.png;image/png
10;quantifying UIC-Franc Global;41460;56422;../fake-data/blob/hipster.png;image/png
