id;name;weight;price;image;image_content_type
1;generate backing up;97895;43567;../fake-data/blob/hipster.png;image/png
2;connecting Vermont;30300;71728;../fake-data/blob/hipster.png;image/png
3;Money Market Account;60742;8320;../fake-data/blob/hipster.png;image/png
4;programming unleash utilize;95672;93144;../fake-data/blob/hipster.png;image/png
5;Avon Cotton action-items;15503;36300;../fake-data/blob/hipster.png;image/png
6;hardware;43545;59978;../fake-data/blob/hipster.png;image/png
7;dynamic Central;67482;54643;../fake-data/blob/hipster.png;image/png
8;Assurance;12572;82757;../fake-data/blob/hipster.png;image/png
9;gold mesh;37870;13902;../fake-data/blob/hipster.png;image/png
10;implementation;95281;85356;../fake-data/blob/hipster.png;image/png
